token,surprisal
.,3.004088878631592
ĠIl,2.6300525665283203
Ġgatto,0.5983442664146423
Ġspinse,9.184347152709961
Ġl,2.025329828262329
âĢĻ,0.011472680605947971
ana,0.40026432275772095
tra,3.886147169396281e-05
",",2.682223320007324
Ġche,2.447831392288208
Ġspinge,9.966839790344238
va,0.4864164888858795
Ġla,2.195580005645752
Ġpa,2.5669615268707275
per,0.008310144767165184
etta,0.005336800590157509
",",0.6982629299163818
Ġche,2.3009719848632812
Ġnemmeno,9.943726539611816
Ġsi,3.3779115676879883
Ġmosse,4.757864952087402
.,2.2471373081207275
Ġ,3.782308340072632
Ċ,1.793190598487854
C,5.790721416473389
hia,2.5994338989257812
marono,7.810801029205322
Ġallora,4.732406139373779
Ġil,2.856719493865967
Ġcane,5.163355827331543
",",1.4431474208831787
Ġche,0.6212238669395447
Ġspinse,5.872896194458008
Ġil,1.7647137641906738
Ġgatto,1.3749843835830688
",",0.6883476376533508
Ġche,0.12675237655639648
Ġspinge,4.666419982910156
va,0.09141238033771515
Ġl,1.2744412422180176
âĢĻ,0.002673387061804533
ana,0.04983191937208176
tra,9.775113539944869e-06
",",0.4729415476322174
Ġche,0.10902482271194458
Ġspinge,3.192152261734009
va,0.026569914072752
Ġla,1.8178236484527588
Ġpa,0.3556971549987793
per,0.0008453133050352335
etta,0.0035125245340168476
Ġche,3.4525339603424072
Ġsembrava,6.7173614501953125
Ġincol,9.446187973022461
lata,1.4973026514053345
Ġa,2.869476079940796
Ġterra,1.364974856376648
.,0.7330077290534973
Ġ,2.1448395252227783
Ġ,4.598259925842285
Ċ,0.6354750394821167
In,3.167426824569702
fine,5.155335426330566
",",0.43983352184295654
ĠarrivÃ²,9.966791152954102
Ġanche,4.715236663818359
Ġil,1.5688940286636353
Ġta,5.883228302001953
cchino,4.351067543029785
Ġche,1.8166438341140747
Ġspinse,4.991937160491943
Ġil,1.4266324043273926
Ġcane,3.624995470046997
",",0.5687970519065857
Ġche,0.07784835249185562
Ġspinge,0.8387849926948547
va,0.012383359484374523
Ġil,2.0620710849761963
Ġgatto,0.25923365354537964
",",0.612434446811676
Ġche,0.02540259249508381
Ġspinge,0.26746445894241333
va,0.011501317843794823
Ġl,0.6418441534042358
âĢĻ,0.002665421459823847
ana,0.010146938264369965
tra,1.0371154530730564e-05
",",0.6501185297966003
Ġche,0.02780057117342949
Ġspinge,0.21688814461231232
va,0.011836533434689045
Ġla,1.600469946861267
Ġpa,0.1434924304485321
per,0.0004217927053105086
etta,0.0015218593180179596
",",1.8854401111602783
Ġche,0.030287768691778183
Ġnon,3.366422653198242
Ġsi,2.601997137069702
Ġsposta,5.013049125671387
va,0.28516247868537903
Ġdi,5.203486919403076
Ġun,4.381171226501465
Ġmilli,1.0548956394195557
metro,0.028531774878501892
.,1.1441271305084229
Ċ,3.5160317420959473
E,4.323183059692383
Ġproprio,6.961462020874023
Ġquando,2.9961307048797607
Ġsemb,9.279056549072266
rÃ²,0.6900997161865234
Ġche,1.272209882736206
Ġla,1.7015868425369263
Ġsua,3.087214469909668
Ġresistenza,6.311902046203613
Ġpotesse,4.3041276931762695
Ġvenir,5.180070877075195
Ġmeno,0.2552075684070587
",",1.1316425800323486
Ġil,2.077641010284424
Ġta,2.559497833251953
cchino,0.01125133503228426
Ġincom,7.540492534637451
inci,0.12010718882083893
Ã²,2.1879286766052246
Ġad,1.8051776885986328
Ġur,3.8823764324188232
lare,0.2158542424440384
:,4.037306308746338
ĠâĢľ,3.36448335647583
al,10.025104522705078
Ġlupo,5.516263484954834
!,1.983583927154541
ĠAl,3.679396629333496
Ġlupo,0.20875118672847748
!,0.571361243724823
âĢĿ.,2.8052475452423096
Ġ,1.5984703302383423
Ċ,0.26638466119766235
E,3.516275405883789
Ġtutti,8.043149948120117
Ġsi,4.866053104400635
Ġtu,9.051287651062012
ff,0.0161997452378273
arono,2.6671972274780273
Ġnello,5.756622314453125
Ġsta,0.7796010375022888
gno,0.0018300942610949278
.,1.2426776885986328
ĠNo,8.246236801147461
",",0.8531385660171509
Ġnon,1.5956828594207764
Ġtutti,4.612357139587402
.,2.2050280570983887
ĠNaturalmente,8.0513916015625
Ġla,2.8875319957733154
Ġpa,2.1451098918914795
per,0.0020507988519966602
etta,0.005224148277193308
Ġrimase,4.277864456176758
Ġal,5.6454620361328125
Ġsuo,4.088573455810547
Ġposto,0.18711422383785248
.,1.7245780229568481
Ġ,2.2549374103546143
Ċ,0.365407794713974
L,3.1434149742126465
âĢĻ,0.09680916368961334
ana,1.115405797958374
tra,0.00017045476124621928
",",1.3674520254135132
Ġil,3.589855194091797
Ġgatto,1.1636966466903687
",",0.8272077441215515
Ġil,1.1690294742584229
Ġcane,1.8135173320770264
",",0.5272782444953918
Ġil,1.219376564025879
Ġta,0.2663051187992096
cchino,0.001053374377079308
Ġurla,10.743192672729492
rono,1.274524211883545
:,2.2335212230682373
ĠâĢľ,0.2533843517303467
Bu,5.753408432006836
ttati,11.70694351196289
",",1.671839714050293
Ġc,6.203582763671875
âĢĻ,0.6780967712402344
Ã¨,0.16006870567798615
Ġil,2.270150661468506
Ġlupo,1.1447983980178833
!,0.8207306265830994
âĢĿ.,1.800889492034912
ĠMa,3.5889391899108887
Ġla,2.496094226837158
Ġpa,1.5866330862045288
per,0.0021230080164968967
etta,0.000690460205078125
Ġnon,1.6033958196640015
Ġvedeva,7.5102362632751465
Ġper,5.732895851135254
Ġniente,2.532754898071289
Ġil,2.048980951309204
Ġlupo,0.21538101136684418
:,4.103248596191406
Ġvedeva,9.890885353088379
Ġun,5.445471286773682
Ġanimale,4.462027072906494
Ġgrosso,7.7877912521362305
",",2.2787604331970215
Ġbrutto,6.927342891693115
Ġe,1.5586378574371338
Ġpel,7.329026222229004
oso,0.3296378254890442
",",1.262420415878296
Ġle,6.717870712280273
Ġcui,4.851553916931152
Ġintenzioni,9.658698081970215
",",3.9196648597717285
Ġper,3.1274421215057373
Ġlei,5.82719612121582
",",1.110253930091858
Ġerano,1.2651915550231934
Ġfin,8.133268356323242
Ġtroppo,0.3310246169567108
Ġevidenti,6.009243965148926
:,2.976698637008667
Ġsp,7.697868347167969
inger,1.008494257926941
la,0.37205782532691956
Ġin,1.1123924255371094
Ġacqua,0.0437006913125515
.,0.8397970795631409
Ġ,1.9903773069381714
Ġ,4.725888729095459
Ċ,0.2017374336719513
Il,2.26464581489563
Ġfatto,4.480480194091797
ĠÃ¨,0.2945636212825775
",",2.1976592540740967
Ġal,5.459543228149414
Ġmomento,1.6969501972198486
",",2.022815465927124
Ġnon,3.8881735801696777
Ġsi,4.211081504821777
Ġtrovava,5.328061103820801
Ġnello,5.173903465270996
Ġstato,2.331531047821045
Ġd,4.029234886169434
âĢĻ,0.2579686939716339
animo,2.537917137145996
Ġideale,7.411481857299805
Ġper,2.1116816997528076
Ġba,8.599167823791504
gn,3.564016342163086
arsi,1.8680235147476196
",",2.2034687995910645
ĠcosÃ¬,6.759149551391602
Ġspi,11.062403678894043
ccÃ²,3.409395933151245
Ġun,5.229886531829834
Ġgran,6.473843574523926
Ġsalto,6.705611705780029
Ġe,3.9408769607543945
ĠandÃ²,7.685941219329834
Ġa,1.844578742980957
Ġbe,9.717949867248535
ccare,1.117820382118225
Ġil,1.7961214780807495
Ġnaso,4.018974781036377
Ġdel,4.376962661743164
Ġlupo,1.637679934501648
.,0.6661835312843323
ĠCi,5.600500106811523
Ġmise,7.323723793029785
Ġtutto,6.535777568817139
Ġl,4.134072303771973
âĢĻ,0.018654268234968185
impegno,7.274702548980713
Ġpossibile,7.156836986541748
Ġe,2.076457977294922
Ġil,3.0042366981506348
Ġlupo,1.9199107885360718
",",2.209686279296875
Ġcolto,8.55357837677002
Ġalla,6.759798049926758
Ġsprov,4.224145412445068
vista,0.21010100841522217
",",0.41288089752197266
Ġul,9.841218948364258
u,1.5527580976486206
lando,4.567078590393066
Ġe,2.10514497756958
Ġul,5.864686489105225
u,0.5710095763206482
lando,0.6179308295249939
",",1.9311109781265259
Ġfu,3.7723190784454346
gg,5.523813247680664
Ã¬,0.8856657147407532
Ġa,2.1910319328308105
Ġzampe,8.416767120361328
Ġle,7.237301349639893
vate,9.056587219238281
.,1.854656457901001
Ġ,1.6413666009902954
Ċ,0.15422840416431427
L,2.576376438140869
âĢĻ,0.03167429566383362
ana,0.4046235978603363
tra,0.00010871296399272978
",",0.6649900674819946
Ġil,1.0404027700424194
Ġgatto,0.059371717274188995
",",0.2038341909646988
Ġil,0.6758317351341248
Ġcane,0.26382410526275635
Ġe,3.147441864013672
Ġil,1.1917165517807007
Ġta,0.11787967383861542
cchino,0.0010433712741360068
Ġusci,6.200462818145752
rono,0.056641560047864914
Ġdallo,4.825090408325195
Ġsta,1.5634565353393555
gno,0.000592890428379178
",",1.9382641315460205
Ġmo,9.807039260864258
gi,8.608380317687988
Ġmo,14.097702026367188
gi,0.960395872592926
",",2.1159913539886475
Ġg,7.399371147155762
ron,4.380967140197754
danti,3.3768186569213867
Ġd,5.881782054901123
âĢĻ,0.06694842875003815
acqua,3.2105820178985596
Ġe,1.6392452716827393
Ġse,7.080223083496094
Ġne,1.8199206590652466
Ġandarono,2.297614097595215
Ġvia,3.754425525665283
.,3.090885639190674
Ġ,2.5251355171203613
Ċ,0.12694789469242096
Il,1.9274104833602905
Ġfatto,2.7835099697113037
ĠÃ¨,0.13223958015441895
Ġche,1.425222396850586
Ġla,1.2599259614944458
Ġgiornata,6.6549248695373535
Ġsi,2.635399580001831
Ġera,3.1397006511688232
Ġfatta,5.124227046966553
Ġbella,5.9696125984191895
Ġe,1.39452064037323
Ġil,2.532142400741577
Ġsole,4.108894348144531
Ġscal,6.5882415771484375
dava,0.6397470831871033
Ġl,2.728447914123535
âĢĻ,0.007065430283546448
aria,3.9604454040527344
Ġe,2.3756558895111084
Ġalla,6.481823444366455
Ġpa,2.8858747482299805
per,0.009199965745210648
etta,0.0015432840446010232
",",1.698599934577942
Ġnulla,8.162005424499512
Ġsemb,7.475909233093262
rÃ²,0.10425649583339691
ĠpiÃ¹,0.9977921843528748
Ġopportuno,4.971205711364746
Ġche,2.1491479873657227
Ġfarsi,11.147077560424805
Ġun,3.037702798843384
Ġbel,4.894443988800049
Ġba,5.319405555725098
gn,0.5933496952056885
etto,1.3809128999710083
Ġnello,6.1352434158325195
Ġsta,0.9384341239929199
gno,0.00039426659350283444
.,0.4267205595970154
Ġ,2.112795829772949
Ċ,0.07168853282928467
Ċ,6.840445518493652
